"","video","corpus","utt.num","speech.act","elicit.action","parent.exec","child.exec","action.has","event.start","event.end","Key","VerbOnset","age_months","age_group","is.imperative","age_scaled"
"217","A16","A",207,"imperative",1,1,"1","1","609560","611720","A16,207","610.490812",14,12,"TRUE",-0.206102886750555
"218","A16","A",219,"imperative",1,1,"1","1","614600","643360","A16,219","641.082012",14,12,"TRUE",-0.206102886750555
"219","A16","A",225,"interrogative",1,1,"0","1","660391","662040","A16,225",NA,14,12,"FALSE",-0.206102886750555
"220","A16","A",227,"declarative",1,0,"1","1","667880","670080","A16,227",NA,14,12,"FALSE",-0.206102886750555
"221","A16","A",228,"interrogative",1,1,"0","1","682520","683440","A16,228","674.681737",14,12,"FALSE",-0.206102886750555
"222","A16","A",232,"imperative",1,1,"0","1","686880","687320","A16,232","686.859481",14,12,"TRUE",-0.206102886750555
"223","A16","A",233,"imperative",1,1,"0","1","687400","68880","A16,233","688.324576",14,12,"TRUE",-0.206102886750555
"224","A16","A",234,"imperative",1,1,"0","1","691520","692600","A16,234","689.000861",14,12,"TRUE",-0.206102886750555
"225","A16","A",236,"imperative",1,0,"1","1","707440","708080","A16,236","706.430826",14,12,"TRUE",-0.206102886750555
"226","A16","A",246,"declarative",1,0,"1","1","724800","72600","A16,246",NA,14,12,"FALSE",-0.206102886750555
"227","A16","A",255,"imperative",1,0,"1","1","738760","741320","A16,255","739.534953",14,12,"TRUE",-0.206102886750555
"228","A16","A",257,"imperative",1,1,"0","1","745960","762332","A16,257",NA,14,12,"TRUE",-0.206102886750555
"229","A17","A",7,"interrogative",1,1,"0","1","15960","16560","A17,7","13.126639",18,19,"FALSE",3.79389711324944
"230","A17","A",10,"interrogative",1,1,"0","1","22560","38281","A17,10","27.133068",18,19,"FALSE",3.79389711324944
"231","A17","A",12,"imperative",1,1,"1","1","44230","44230","A17,12","33.419064",18,19,"TRUE",3.79389711324944
"232","A17","A",18,"interrogative",1,1,"1","1","48960","57200","A17,18",NA,18,19,"FALSE",3.79389711324944
"233","A17","A",24,"interrogative",1,1,"1","1","70000","71760","A17,24",NA,18,19,"FALSE",3.79389711324944
